Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Comment,Simple.Disease,Disease,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_BA9395AA,HVH 80 (4-2428830),"SRR800554;ILLUMINA;Paired;5000;SRX257547;NEW,SRR785443;ILLUMINA;Paired;180;SRX251334;NEW,SRR785444;ILLUMINA;Paired;180;SRX251334;NEW,SRR800457;ILLUMINA;Paired;5000;SRX257438;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186103,SRP019598,SAMN01885730,SRS402220,8/27/2015,4/1/2013,ESC_BA9395AA,NA,390,ST95 Cplx,,NA,37,38,86,37,17,11,26
ESC_BA9396AA,HVH 16 (4-7649002),"SRR800463;ILLUMINA;Paired;5000;SRX257459;NEW,SRR800553;ILLUMINA;Paired;5000;SRX257546;NEW,SRR784314;ILLUMINA;Paired;180;SRX251142;NEW,SRR784313;ILLUMINA;Paired;180;SRX251142;NEW",Human,Human,blood; Homo sapiens,2005,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186049,SRP019528,SAMN01885679,SRS402130,8/27/2015,4/1/2013,ESC_BA9396AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9397AA,HVH 28 (4-0907367),"SRR800552;ILLUMINA;Paired;5000;SRX257545;NEW,SRR784988;ILLUMINA;Paired;180;SRX251252;NEW,SRR800530;ILLUMINA;Paired;5000;SRX257523;NEW,SRR784987;ILLUMINA;Paired;180;SRX251252;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186061,SRP019555,SAMN01885691,SRS402168,8/27/2015,4/1/2013,ESC_BA9397AA,NA,127,,B2,NA,13,14,19,36,23,11,10
ESC_BA9398AA,HVH 55 (4-2646161),"SRR800551;ILLUMINA;Paired;5000;SRX257544;NEW,SRR785279;ILLUMINA;Paired;180;SRX251304;NEW,SRR785280;ILLUMINA;Paired;180;SRX251304;NEW,SRR800445;ILLUMINA;Paired;5000;SRX257442;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186087,SRP019580,SAMN01885714,SRS402198,8/27/2015,4/1/2013,ESC_BA9398AA,NA,537,ST14 Cplx,,NA,14,14,10,14,17,11,10
ESC_BA9399AA,HVH 4 (4-7276109),"SRR800415;ILLUMINA;Paired;5000;SRX257413;NEW,SRR800550;ILLUMINA;Paired;5000;SRX257543;NEW,SRR785152;ILLUMINA;Paired;180;SRX251287;NEW,SRR785151;ILLUMINA;Paired;180;SRX251287;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186041,SRP019571,SAMN01885671,SRS402187,8/27/2015,4/1/2013,ESC_BA9399AA,NA,12,ST12 Cplx,B2,NA,13,13,9,13,16,10,9
ESC_BA9400AA,HVH 103 (4-5904188),"SRR783922;ILLUMINA;Paired;180;SRX251043;NEW,SRR800527;ILLUMINA;Paired;5000;SRX257522;NEW,SRR800547;ILLUMINA;Paired;5000;SRX257541;NEW,SRR783923;ILLUMINA;Paired;180;SRX251043;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186124,SRP019515,SAMN01885751,SRS402106,8/27/2015,4/1/2013,ESC_BA9400AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9401AA,HVH 68 (4-0888028),"SRR785356;ILLUMINA;Paired;180;SRX251317;NEW,SRR785357;ILLUMINA;Paired;180;SRX251317;NEW,SRR800475;ILLUMINA;Paired;5000;SRX257472;NEW,SRR800545;ILLUMINA;Paired;5000;SRX257539;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186094,SRP019589,SAMN01885721,SRS402209,8/27/2015,4/1/2013,ESC_BA9401AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9402AA,HVH 108 (4-6924867),"SRR800443;ILLUMINA;Paired;5000;SRX257440;NEW,SRR783976;ILLUMINA;Paired;180;SRX251048;NEW,SRR783977;ILLUMINA;Paired;180;SRX251048;NEW,SRR800543;ILLUMINA;Paired;5000;SRX257538;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186129,SRP019519,SAMN01885756,SRS402110,8/27/2015,4/1/2013,ESC_BA9402AA,NA,428,,B2,NA,96,40,13,100,23,28,66
ESC_BA9403AA,HVH 42 (4-2100061),"SRR800427;ILLUMINA;Paired;5000;SRX257426;NEW,SRR785124;ILLUMINA;Paired;180;SRX251280;NEW,SRR785123;ILLUMINA;Paired;180;SRX251280;NEW,SRR800544;ILLUMINA;Paired;5000;SRX257536;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186074,SRP019568,SAMN01885704,SRS402183,8/27/2015,4/1/2013,ESC_BA9403AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9404AA,HVH 10 (4-6832164),"SRR800434;ILLUMINA;Paired;5000;SRX257431;NEW,SRR783949;ILLUMINA;Paired;180;SRX251045;NEW,SRR783948;ILLUMINA;Paired;180;SRX251045;NEW,SRR800541;ILLUMINA;Paired;5000;SRX257535;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186046,SRP019517,SAMN01885676,SRS402108,8/27/2015,4/1/2013,ESC_BA9404AA,NA,69,ST69 Cplx,D,NA,21,35,27,6,5,5,4
ESC_BA9405AA,HVH 6 (3-8296502),"SRR800503;ILLUMINA;Paired;5000;SRX257499;NEW,SRR785352;ILLUMINA;Paired;180;SRX251315;NEW,SRR785353;ILLUMINA;Paired;180;SRX251315;NEW,SRR800540;ILLUMINA;Paired;5000;SRX257534;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186043,SRP019587,SAMN01885673,SRS402207,8/27/2015,4/1/2013,ESC_BA9405AA,NA,362,,D,NA,62,100,17,31,5,5,4
ESC_BA9406AA,HVH 89 (4-5885604),"SRR785525;ILLUMINA;Paired;180;SRX251351;NEW,SRR800515;ILLUMINA;Paired;5000;SRX257511;NEW,SRR800537;ILLUMINA;Paired;5000;SRX257531;NEW,SRR785526;ILLUMINA;Paired;180;SRX251351;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186111,SRP019606,SAMN01885738,SRS402231,8/27/2015,4/1/2013,ESC_BA9406AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9407AA,HVH 86 (4-7026218),"SRR785498;ILLUMINA;Paired;180;SRX251345;NEW,SRR800536;ILLUMINA;Paired;5000;SRX257529;NEW,SRR785497;ILLUMINA;Paired;180;SRX251345;NEW,SRR800424;ILLUMINA;Paired;5000;SRX257423;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186108,SRP019603,SAMN01885735,SRS402227,8/27/2015,4/1/2013,ESC_BA9407AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9408AA,HVH 93 (4-5851025),"SRR800453;ILLUMINA;Paired;5000;SRX257450;NEW,SRR785552;ILLUMINA;Paired;180;SRX251355;NEW,SRR785551;ILLUMINA;Paired;180;SRX251355;NEW,SRR800534;ILLUMINA;Paired;5000;SRX257527;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186115,SRP019610,SAMN01885742,SRS402235,8/27/2015,4/1/2013,ESC_BA9408AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9409AA,HVH 37 (4-2773848),"SRR800438;ILLUMINA;Paired;5000;SRX257433;NEW,SRR785075;ILLUMINA;Paired;180;SRX251275;NEW,SRR785074;ILLUMINA;Paired;180;SRX251275;NEW,SRR800533;ILLUMINA;Paired;5000;SRX257526;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186069,SRP019564,SAMN01885699,SRS402179,8/27/2015,4/1/2013,ESC_BA9409AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9410AA,HVH 5 (4-7148410),"SRR785278;ILLUMINA;Paired;180;SRX251303;NEW,SRR800526;ILLUMINA;Paired;5000;SRX257521;NEW,SRR785277;ILLUMINA;Paired;180;SRX251303;NEW,SRR800531;ILLUMINA;Paired;5000;SRX257524;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186042,SRP019579,SAMN01885672,SRS402197,8/27/2015,4/1/2013,ESC_BA9410AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9411AA,HVH 24 (4-5985145),"SRR800433;ILLUMINA;Paired;5000;SRX257430;NEW,SRR784977;ILLUMINA;Paired;180;SRX251247;NEW,SRR800525;ILLUMINA;Paired;5000;SRX257520;NEW,SRR784978;ILLUMINA;Paired;180;SRX251247;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186057,SRP019550,SAMN01885687,SRS402163,8/27/2015,4/1/2013,ESC_BA9411AA,NA,4612,,B2,NA,76,24,9,36,17,1,34
ESC_BA9412AA,HVH 70 (4-2963531),"SRR785383;ILLUMINA;Paired;180;SRX251319;NEW,SRR800418;ILLUMINA;Paired;5000;SRX257415;NEW,SRR785382;ILLUMINA;Paired;180;SRX251319;NEW,SRR800523;ILLUMINA;Paired;5000;SRX257518;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186096,SRP019591,SAMN01885723,SRS402211,8/27/2015,4/1/2013,ESC_BA9412AA,NA,144,,B2,NA,13,43,9,36,30,44,25
ESC_BA9413AA,HVH 84 (4-1021478),"SRR785472;ILLUMINA;Paired;180;SRX251340;NEW,SRR800522;ILLUMINA;Paired;5000;SRX257516;NEW,SRR800462;ILLUMINA;Paired;5000;SRX257458;NEW,SRR785471;ILLUMINA;Paired;180;SRX251340;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186106,SRP019604,SAMN01885733,SRS402228,8/27/2015,4/1/2013,ESC_BA9413AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
ESC_BA9414AA,HVH 63 (4-2542528),"SRR785350;ILLUMINA;Paired;180;SRX251313;NEW,SRR800520;ILLUMINA;Paired;5000;SRX257515;NEW,SRR785351;ILLUMINA;Paired;180;SRX251313;NEW,SRR800468;ILLUMINA;Paired;5000;SRX257464;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186092,SRP019586,SAMN01885719,SRS402205,8/27/2015,4/1/2013,ESC_BA9414AA,NA,69,ST69 Cplx,D,NA,21,35,27,6,5,5,4
ESC_BA9415AA,HVH 54 (4-2723514),"SRR800444;ILLUMINA;Paired;5000;SRX257441;NEW,SRR785253;ILLUMINA;Paired;180;SRX251298;NEW,SRR785254;ILLUMINA;Paired;180;SRX251298;NEW,SRR800519;ILLUMINA;Paired;5000;SRX257514;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186086,SRP019582,SAMN01885713,SRS402200,8/27/2015,4/1/2013,ESC_BA9415AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9416AA,HVH 56 (4-2153033),"SRR785299;ILLUMINA;Paired;180;SRX251305;NEW,SRR800414;ILLUMINA;Paired;5000;SRX257412;NEW,SRR800517;ILLUMINA;Paired;5000;SRX257513;NEW,SRR785298;ILLUMINA;Paired;180;SRX251305;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186088,SRP019581,SAMN01885715,SRS402199,8/27/2015,4/1/2013,ESC_BA9416AA,NA,127,,B2,NA,13,14,19,36,23,11,10
ESC_BA9417AA,HVH 45 (4-3129918),"SRR800518;ILLUMINA;Paired;5000;SRX257512;NEW,SRR800514;ILLUMINA;Paired;5000;SRX257510;NEW,SRR785154;ILLUMINA;Paired;180;SRX251288;NEW,SRR785153;ILLUMINA;Paired;180;SRX251288;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186080,SRP019572,SAMN01885707,SRS402188,8/27/2015,4/1/2013,ESC_BA9417AA,NA,69,ST69 Cplx,D,NA,21,35,27,6,5,5,4
ESC_BA9418AA,HVH 43 (4-2173468),"SRR785147;ILLUMINA;Paired;180;SRX251281;NEW,SRR785148;ILLUMINA;Paired;180;SRX251281;NEW,SRR800473;ILLUMINA;Paired;5000;SRX257470;NEW,SRR800513;ILLUMINA;Paired;5000;SRX257509;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186075,SRP019569,SAMN01885705,SRS402184,8/27/2015,4/1/2013,ESC_BA9418AA,NA,5412,ST31 Cplx,,NA,18,106,17,6,220,5,4
ESC_BA9419AA,HVH 97 (4-6859038),"SRR800440;ILLUMINA;Paired;5000;SRX257436;NEW,SRR785599;ILLUMINA;Paired;180;SRX251363;NEW,SRR800512;ILLUMINA;Paired;5000;SRX257508;NEW,SRR785598;ILLUMINA;Paired;180;SRX251363;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Clade IV,,,,,,,,,PRJNA186118,SRP019614,SAMN01885745,SRS402240,8/27/2015,4/1/2013,ESC_BA9419AA,NA,-744,,,NA,82,531,-3,1135,56,322,509
ESC_BA9420AA,HVH 35 (4-2962667),"SRR785050;ILLUMINA;Paired;180;SRX251262;NEW,SRR785052;ILLUMINA;Paired;180;SRX251262;NEW,SRR800508;ILLUMINA;Paired;5000;SRX257504;NEW,SRR800510;ILLUMINA;Paired;5000;SRX257506;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186067,SRP019562,SAMN01885697,SRS402176,8/27/2015,4/1/2013,ESC_BA9420AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9421AA,HVH 74 (4-1034782),"SRR785408;ILLUMINA;Paired;180;SRX251321;NEW,SRR785409;ILLUMINA;Paired;180;SRX251321;NEW,SRR800506;ILLUMINA;Paired;5000;SRX257502;NEW,SRR800467;ILLUMINA;Paired;5000;SRX257463;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186098,SRP019593,SAMN01885725,SRS402213,8/27/2015,4/1/2013,ESC_BA9421AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9422AA,HVH 59 (4-1119338),"SRR800419;ILLUMINA;Paired;5000;SRX257416;NEW,SRR800516;ILLUMINA;Paired;5000;SRX257501;NEW,SRR785324;ILLUMINA;Paired;180;SRX251311;NEW,SRR785325;ILLUMINA;Paired;180;SRX251311;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186090,SRP019584,SAMN01885717,SRS402203,8/27/2015,4/1/2013,ESC_BA9422AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9423AA,HVH 48 (4-2658593),"SRR800504;ILLUMINA;Paired;5000;SRX257494;NEW,SRR800505;ILLUMINA;Paired;5000;SRX257500;NEW,SRR785157;ILLUMINA;Paired;180;SRX251290;NEW,SRR785158;ILLUMINA;Paired;180;SRX251290;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186082,SRP019574,SAMN01885709,SRS402190,8/27/2015,4/1/2013,ESC_BA9423AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9424AA,HVH 3 (4-7276001),"SRR800487;ILLUMINA;Paired;5000;SRX257483;NEW,SRR785047;ILLUMINA;Paired;180;SRX251261;NEW,SRR800501;ILLUMINA;Paired;5000;SRX257498;NEW,SRR785046;ILLUMINA;Paired;180;SRX251261;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186040,SRP019561,SAMN01885670,SRS402175,8/27/2015,4/1/2013,ESC_BA9424AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9425AA,HVH 39 (4-2679949),"SRR800431;ILLUMINA;Paired;5000;SRX257429;NEW,SRR800499;ILLUMINA;Paired;5000;SRX257496;NEW,SRR785079;ILLUMINA;Paired;180;SRX251277;NEW,SRR785078;ILLUMINA;Paired;180;SRX251277;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186071,SRP019566,SAMN01885701,SRS402181,8/27/2015,4/1/2013,ESC_BA9425AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9426AA,HVH 40 (4-1219782),"SRR800498;ILLUMINA;Paired;5000;SRX257495;NEW,SRR800471;ILLUMINA;Paired;5000;SRX257468;NEW,SRR785081;ILLUMINA;Paired;180;SRX251278;NEW,SRR785080;ILLUMINA;Paired;180;SRX251278;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186072,SRP019567,SAMN01885702,SRS402182,8/27/2015,4/1/2013,ESC_BA9426AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9427AA,HVH 21 (4-4517873),"SRR800447;ILLUMINA;Paired;5000;SRX257444;NEW,SRR784733;ILLUMINA;Paired;180;SRX251228;NEW,SRR784732;ILLUMINA;Paired;180;SRX251228;NEW,SRR800497;ILLUMINA;Paired;5000;SRX257493;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186054,SRP019536,SAMN01885684,SRS402148,8/27/2015,4/1/2013,ESC_BA9427AA,NA,827,ST12 Cplx,,NA,13,13,9,13,16,8,9
ESC_BA9428AA,HVH 102 (4-6906788),"SRR800452;ILLUMINA;Paired;5000;SRX257449;NEW,SRR783921;ILLUMINA;Paired;180;SRX251040;NEW,SRR783920;ILLUMINA;Paired;180;SRX251040;NEW,SRR800495;ILLUMINA;Paired;5000;SRX257491;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186123,SRP019514,SAMN01885750,SRS402104,8/27/2015,4/1/2013,ESC_BA9428AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9429AA,HVH 1 (4-6876161),"SRR784213;ILLUMINA;Paired;180;SRX251103;NEW,SRR800493;ILLUMINA;Paired;5000;SRX257489;NEW,SRR800488;ILLUMINA;Paired;5000;SRX257484;NEW,SRR784214;ILLUMINA;Paired;180;SRX251103;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186038,SRP019527,SAMN01885668,SRS402124,8/27/2015,4/1/2013,ESC_BA9429AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9430AA,HVH 25 (4-5851939),"SRR784982;ILLUMINA;Paired;180;SRX251249;NEW,SRR800489;ILLUMINA;Paired;5000;SRX257485;NEW,SRR800486;ILLUMINA;Paired;5000;SRX257482;NEW,SRR784981;ILLUMINA;Paired;180;SRX251249;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186058,SRP019552,SAMN01885688,SRS402165,8/27/2015,4/1/2013,ESC_BA9430AA,NA,405,ST405 Cplx,,NA,35,37,29,25,4,5,73
ESC_BA9432AA,HVH 87 (4-5977630),"SRR800482;ILLUMINA;Paired;5000;SRX257478;NEW,SRR800449;ILLUMINA;Paired;5000;SRX257446;NEW,SRR785499;ILLUMINA;Paired;180;SRX251346;NEW,SRR785500;ILLUMINA;Paired;180;SRX251346;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186109,SRP019605,SAMN01885736,SRS402229,8/27/2015,4/1/2013,ESC_BA9432AA,NA,59,ST59 Cplx,ABD,NA,27,32,24,29,26,19,22
ESC_BA9433AA,HVH 69 (4-2837072),"SRR785380;ILLUMINA;Paired;180;SRX251318;NEW,SRR800481;ILLUMINA;Paired;5000;SRX257477;NEW,SRR800477;ILLUMINA;Paired;5000;SRX257474;NEW,SRR785381;ILLUMINA;Paired;180;SRX251318;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186095,SRP019590,SAMN01885722,SRS402210,8/27/2015,4/1/2013,ESC_BA9433AA,NA,69,ST69 Cplx,D,NA,21,35,27,6,5,5,4
ESC_BA9434AA,HVH 95 (4-6074464),"SRR800454;ILLUMINA;Paired;5000;SRX257451;NEW,SRR800472;ILLUMINA;Paired;5000;SRX257469;NEW,SRR785583;ILLUMINA;Paired;180;SRX251361;NEW,SRR785581;ILLUMINA;Paired;180;SRX251361;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186116,SRP019613,SAMN01885743,SRS402239,8/27/2015,4/1/2013,ESC_BA9434AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9435AA,HVH 2 (4-6943160),"SRR784980;ILLUMINA;Paired;180;SRX251248;NEW,SRR800461;ILLUMINA;Paired;5000;SRX257457;NEW,SRR800420;ILLUMINA;Paired;5000;SRX257417;NEW,SRR784979;ILLUMINA;Paired;180;SRX251248;NEW",Human,Human,blood; Homo sapiens,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186039,SRP019551,SAMN01885669,SRS402164,8/27/2015,4/1/2013,ESC_BA9435AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9436AA,HVH 19 (4-7154984),"SRR784597;ILLUMINA;Paired;180;SRX251188;NEW,SRR800421;ILLUMINA;Paired;5000;SRX257418;NEW,SRR800451;ILLUMINA;Paired;5000;SRX257448;NEW,SRR784598;ILLUMINA;Paired;180;SRX251188;NEW",Human,Human,blood; Homo sapiens,2005,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186052,SRP019531,SAMN01885682,SRS402138,8/27/2015,4/1/2013,ESC_BA9436AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_BA9437AA,HVH 17 (4-7473087),"SRR800437;ILLUMINA;Paired;5000;SRX257434;NEW,SRR784398;ILLUMINA;Paired;180;SRX251156;NEW,SRR800441;ILLUMINA;Paired;5000;SRX257437;NEW,SRR784399;ILLUMINA;Paired;180;SRX251156;NEW",Human,Human,blood; Homo sapiens,2005,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186050,SRP019529,SAMN01885680,SRS402133,8/27/2015,4/1/2013,ESC_BA9437AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
ESC_BA9438AA,HVH 31 (4-2602156),"SRR785017;ILLUMINA;Paired;180;SRX251258;NEW,SRR800439;ILLUMINA;Paired;5000;SRX257435;NEW,SRR800426;ILLUMINA;Paired;5000;SRX257425;NEW,SRR785018;ILLUMINA;Paired;180;SRX251258;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186064,SRP019558,SAMN01885694,SRS402172,8/27/2015,4/1/2013,ESC_BA9438AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_BA9439AA,HVH 46 (4-2758776),"SRR800416;ILLUMINA;Paired;5000;SRX257414;NEW,SRR785155;ILLUMINA;Paired;180;SRX251289;NEW,SRR785156;ILLUMINA;Paired;180;SRX251289;NEW,SRR800432;ILLUMINA;Paired;5000;SRX257422;NEW",Human,Human,blood; Homo sapiens,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Broad Institute,Escherichia coli,,,,,,,,,PRJNA186081,SRP019573,SAMN01885708,SRS402189,8/27/2015,4/1/2013,ESC_BA9439AA,NA,372,,,NA,88,103,19,36,23,44,26
ESC_BA9724AA,Escherichia coliVB 951118,ERR264266;ILLUMINA;Paired;236;ERX238784;NEW,Companion Animal,Canine,Dog,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,THE SANGER CENTER,Escherichia coli,,,,,,,,,PRJEB1252,ERP002086,SAMEA1877416,ERS193916,8/27/2015,4/29/2013,ESC_BA9724AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
